,TCGA-AA-A00K-01
ENSG00000004846,0.0163
ENSG00000005189,4.0336
ENSG00000005471,0.6827
ENSG00000006071,0.024
ENSG00000008311,0.8596
ENSG00000011198,6.3786
ENSG00000023839,3.1353
ENSG00000033050,16.6295
ENSG00000064687,11.3323
ENSG00000069431,0.4802
ENSG00000073734,0.0195
ENSG00000081760,27.247
ENSG00000085563,49.623
ENSG00000087884,6.7499
ENSG00000090861,50.5284
ENSG00000091262,14.7876
ENSG00000091436,12.2528
ENSG00000094914,50.0363
ENSG00000097007,42.1438
ENSG00000099204,37.7051
ENSG00000100439,16.7044
ENSG00000100997,90.9058
ENSG00000101986,18.2475
ENSG00000103222,42.1732
ENSG00000103591,38.1421
ENSG00000106077,142.9097
ENSG00000107331,23.9083
ENSG00000107362,18.9545
ENSG00000108798,11.7439
ENSG00000108846,37.4868
ENSG00000109576,17.4602
ENSG00000114626,9.5273
ENSG00000114770,6.9902
ENSG00000114771,0.5542
ENSG00000114779,90.6579
ENSG00000115657,0.8689
ENSG00000115977,3.6833
ENSG00000117528,27.1561
ENSG00000118017,0.0
ENSG00000118777,1.3724
ENSG00000119688,9.6814
ENSG00000121270,0.2492
ENSG00000121410,0.0
ENSG00000124574,11.7436
ENSG00000124608,18.8074
ENSG00000125257,7.6168
ENSG00000127220,4.1138
ENSG00000127837,198.2653
ENSG00000128274,4.9381
ENSG00000129673,0.2098
ENSG00000129968,19.9593
ENSG00000131043,48.1748
ENSG00000131269,22.6514
ENSG00000131969,6.3598
ENSG00000135776,18.0133
ENSG00000136379,103.2324
ENSG00000136754,35.5602
ENSG00000138075,0.1216
ENSG00000138443,2.9664
ENSG00000139826,11.3776
ENSG00000140526,49.2158
ENSG00000140798,0.0
ENSG00000141338,0.2547
ENSG00000143322,3.6582
ENSG00000143921,0.0296
ENSG00000143994,0.293
ENSG00000144452,0.2979
ENSG00000144827,29.7408
ENSG00000145063,0.0332
ENSG00000146109,45.7926
ENSG00000146386,136.6929
ENSG00000148584,9.2461
ENSG00000149313,10.5219
ENSG00000150967,4.8204
ENSG00000154175,0.4394
ENSG00000154258,0.0501
ENSG00000154262,0.0745
ENSG00000154263,0.0538
ENSG00000154265,3.1964
ENSG00000157426,5.1177
ENSG00000158122,4.5253
ENSG00000158201,29.5098
ENSG00000159842,63.8605
ENSG00000160179,12.8065
ENSG00000161204,27.1848
ENSG00000162947,0.0
ENSG00000163686,12.6927
ENSG00000163995,7.8723
ENSG00000164074,6.2933
ENSG00000164163,31.7932
ENSG00000165029,3.4687
ENSG00000166016,5.4834
ENSG00000166535,0.0
ENSG00000167972,1.0045
ENSG00000168792,11.483
ENSG00000172350,0.121
ENSG00000173208,0.1678
ENSG00000173210,1.5231
ENSG00000174429,0.1095
ENSG00000175164,39.3101
ENSG00000175899,68.5494
ENSG00000179428,0.0
ENSG00000179859,3.165
ENSG00000179869,0.0237
ENSG00000181409,0.675
ENSG00000182824,0.0
ENSG00000183044,8.4585
ENSG00000183308,0.3099
ENSG00000184761,0.0
ENSG00000185065,0.5032
ENSG00000186019,0.252
ENSG00000186148,0.0
ENSG00000186235,0.3905
ENSG00000187979,0.0
ENSG00000188280,0.0
ENSG00000188365,0.6006
ENSG00000188984,0.0
ENSG00000189229,0.5439
ENSG00000196096,0.0
ENSG00000196295,1.142
ENSG00000196758,0.1222
ENSG00000197150,19.0371
ENSG00000197462,0.0
ENSG00000197665,0.0
ENSG00000197953,0.0
ENSG00000198691,0.2646
ENSG00000203327,0.1646
ENSG00000203395,0.0
ENSG00000203446,0.0851
ENSG00000203643,0.0
ENSG00000204380,0.2053
ENSG00000204427,1.337
ENSG00000204460,0.0
ENSG00000204518,0.0
ENSG00000204574,61.9617
ENSG00000204876,37.5678
ENSG00000204929,0.0
ENSG00000205002,0.1881
ENSG00000205325,0.0
ENSG00000205500,0.2353
ENSG00000205745,0.0
ENSG00000205830,0.0
ENSG00000205971,0.0
ENSG00000206567,2.6567
ENSG00000212978,0.7758
ENSG00000213963,0.0841
ENSG00000213981,0.1377
ENSG00000214432,0.0879
ENSG00000214546,4.2575
ENSG00000214708,0.9428
ENSG00000214719,0.0346
ENSG00000214870,0.1667
ENSG00000215068,0.3586
ENSG00000215458,2.7836
ENSG00000216895,2.672
ENSG00000217455,0.0
ENSG00000218672,0.0972
ENSG00000219159,1.0204
ENSG00000222000,0.0
ENSG00000222012,0.0
ENSG00000222017,0.0
ENSG00000222020,3.6887
ENSG00000222030,0.0
ENSG00000222031,0.0
ENSG00000222035,0.0
ENSG00000223461,0.518
ENSG00000223466,0.0
ENSG00000223486,0.3361
ENSG00000223523,0.0
ENSG00000223530,0.0
ENSG00000223536,0.0
ENSG00000223561,0.062
ENSG00000223634,0.0
ENSG00000223642,0.0
ENSG00000223646,0.0881
ENSG00000223711,0.1448
ENSG00000223725,0.0
ENSG00000223727,0.0
ENSG00000223813,3.4522
ENSG00000223826,0.7731
ENSG00000223829,0.0
ENSG00000223838,0.0
ENSG00000223863,0.2635
ENSG00000223882,0.0
ENSG00000223884,0.2194
ENSG00000223914,0.0
ENSG00000223935,0.3772
ENSG00000223947,0.5191
ENSG00000223960,0.8952
ENSG00000223969,0.0339
ENSG00000224015,0.0
ENSG00000224028,0.0
ENSG00000224046,1.8262
ENSG00000224063,0.0
ENSG00000224079,0.5204
ENSG00000224099,0.615
ENSG00000224137,0.3064
ENSG00000224152,1.1099
ENSG00000224173,0.0
ENSG00000224194,0.0
ENSG00000224231,0.0
ENSG00000224322,0.1139
ENSG00000224330,0.0
ENSG00000224342,0.0
ENSG00000224375,0.0
ENSG00000224376,0.0944
ENSG00000224400,0.0
ENSG00000224467,0.0
ENSG00000224505,0.8664
ENSG00000224509,0.0
ENSG00000224612,0.0
ENSG00000224643,0.0
ENSG00000224655,0.0
ENSG00000224675,0.0
ENSG00000224721,0.0698
ENSG00000224730,0.0
ENSG00000224746,0.0904
ENSG00000224789,0.0
ENSG00000224865,0.0
ENSG00000224875,0.0
ENSG00000224879,2.4562
ENSG00000224903,0.3206
ENSG00000224910,0.0
ENSG00000225107,0.0
ENSG00000225111,2.25
ENSG00000225146,0.0
ENSG00000225156,0.0
ENSG00000225166,0.0
ENSG00000225180,0.0
ENSG00000225187,0.7011
ENSG00000225214,0.0
ENSG00000225226,0.0
ENSG00000225230,0.0
ENSG00000225231,0.0612
ENSG00000225258,0.0
ENSG00000225284,0.0
ENSG00000225341,0.0
ENSG00000225342,0.0661
ENSG00000225378,0.0
ENSG00000225421,0.2119
ENSG00000225498,0.0
ENSG00000225537,0.0
ENSG00000225539,0.0
ENSG00000225559,0.0
ENSG00000225563,0.0
ENSG00000225606,0.0
ENSG00000225610,0.0
ENSG00000225647,0.0
ENSG00000225649,0.0
ENSG00000225703,0.0
ENSG00000225751,0.6325
ENSG00000225792,0.0
ENSG00000225794,0.0
ENSG00000225819,0.0
ENSG00000225885,0.1016
ENSG00000225889,0.2222
ENSG00000225929,0.0
ENSG00000225963,0.0557
ENSG00000225969,57.1562
ENSG00000225979,0.0
ENSG00000226022,0.0
ENSG00000226041,1.1833
ENSG00000226130,0.0
ENSG00000226218,0.0
ENSG00000226266,0.2214
ENSG00000226320,0.55
ENSG00000226398,0.0
ENSG00000226488,0.0
ENSG00000226506,0.0
ENSG00000226548,0.2312
ENSG00000226622,0.0
ENSG00000226649,0.0
ENSG00000226681,0.0
ENSG00000226690,0.0807
ENSG00000226747,0.1024
ENSG00000226756,0.2404
ENSG00000226764,0.0
ENSG00000226770,0.0
ENSG00000226806,0.0
ENSG00000226816,0.0
ENSG00000226851,0.2132
ENSG00000226853,0.0
ENSG00000226872,0.0
ENSG00000226925,0.0
ENSG00000226939,0.0
ENSG00000226963,0.2702
ENSG00000226965,0.0491
ENSG00000226994,0.0
ENSG00000227014,0.2126
ENSG00000227017,0.0
ENSG00000227047,0.0
ENSG00000227061,0.0287
ENSG00000227078,0.0
ENSG00000227088,0.121
ENSG00000227098,0.0
ENSG00000227157,0.0
ENSG00000227172,0.3641
ENSG00000227189,0.0
ENSG00000227210,0.1174
ENSG00000227227,0.0
ENSG00000227292,0.0
ENSG00000227308,0.0
ENSG00000227359,7.7926
ENSG00000227386,0.0
ENSG00000227400,0.6128
ENSG00000227403,3.0876
ENSG00000227432,0.0
ENSG00000227459,0.0
ENSG00000227489,0.0
ENSG00000227542,0.4975
ENSG00000227544,0.0897
ENSG00000227685,0.0
ENSG00000227708,0.0
ENSG00000227719,5.7537
ENSG00000227769,0.0
ENSG00000227863,0.0
ENSG00000227930,0.0
ENSG00000227946,1.4579
ENSG00000227981,0.0
ENSG00000228005,0.0
ENSG00000228010,0.0432
ENSG00000228028,0.3514
ENSG00000228031,0.0
ENSG00000228033,0.0
ENSG00000228064,0.0
ENSG00000228079,0.0
ENSG00000228100,0.0
ENSG00000228113,0.0623
ENSG00000228151,0.0
ENSG00000228157,0.0487
ENSG00000228173,0.0
ENSG00000228222,0.0
ENSG00000228251,0.5699
ENSG00000228323,0.3434
ENSG00000228334,0.0
ENSG00000228363,0.0527
ENSG00000228379,0.0
ENSG00000228384,0.0
ENSG00000228400,0.0
ENSG00000228421,0.7691
ENSG00000228434,0.2424
ENSG00000228505,0.0
ENSG00000228509,0.0785
ENSG00000228554,0.6187
ENSG00000228586,0.0
ENSG00000228590,0.0
ENSG00000228596,0.0
ENSG00000228618,0.0
ENSG00000228629,0.3473
ENSG00000228639,0.0
ENSG00000228643,0.0
ENSG00000228649,0.9102
ENSG00000228661,1.2206
ENSG00000228737,0.4855
ENSG00000228835,0.0
ENSG00000228873,0.0
ENSG00000228876,0.0
ENSG00000228925,0.4108
ENSG00000228944,0.0
ENSG00000228950,0.0
ENSG00000228973,0.0
ENSG00000228999,0.0
ENSG00000229043,2.2765
ENSG00000229056,0.2814
ENSG00000229127,0.312
ENSG00000229131,0.0
ENSG00000229177,0.0
ENSG00000229178,0.4476
ENSG00000229192,0.0
ENSG00000229195,0.0
ENSG00000229209,0.0
ENSG00000229229,0.0
ENSG00000229263,0.0
ENSG00000229267,0.059
ENSG00000229271,0.0
ENSG00000229308,0.0
ENSG00000229321,0.163
ENSG00000229334,3.2569
ENSG00000229337,0.2232
ENSG00000229370,0.0
ENSG00000229395,0.0
ENSG00000229424,0.0
ENSG00000229434,0.0
ENSG00000229457,0.0
ENSG00000229459,0.0
ENSG00000229494,0.0
ENSG00000229525,0.6603
ENSG00000229533,0.0
ENSG00000229536,0.0
ENSG00000229550,0.0
ENSG00000229603,0.0
ENSG00000229618,0.0113
ENSG00000229621,0.0
ENSG00000229628,0.0
ENSG00000229642,0.0
ENSG00000229727,0.0154
ENSG00000229774,0.0
ENSG00000229779,0.0
ENSG00000229805,0.0
ENSG00000229839,0.1642
ENSG00000229893,0.1267
ENSG00000229941,0.0
ENSG00000229970,0.4881
ENSG00000230065,0.0
ENSG00000230140,0.0714
ENSG00000230173,0.0
ENSG00000230258,0.0
ENSG00000230286,0.0
ENSG00000230333,0.0266
ENSG00000230393,0.0
ENSG00000230401,0.0
ENSG00000230408,0.1719
ENSG00000230515,0.0
ENSG00000230525,0.0
ENSG00000230552,0.0
ENSG00000230612,0.1685
ENSG00000230645,0.0854
ENSG00000230647,0.1206
ENSG00000230649,0.0
ENSG00000230680,0.0
ENSG00000230690,0.0
ENSG00000230695,0.0
ENSG00000230696,0.0
ENSG00000230730,0.0
ENSG00000230733,0.0
ENSG00000230746,0.0
ENSG00000230747,0.4074
ENSG00000230751,0.0
ENSG00000230773,0.0187
ENSG00000230825,0.4636
ENSG00000230831,0.0
ENSG00000230941,0.0
ENSG00000230975,0.0
ENSG00000230991,0.0
ENSG00000231013,0.0477
ENSG00000231031,0.0
ENSG00000231083,0.0
ENSG00000231092,0.0
ENSG00000231170,0.0447
ENSG00000231172,2.417
ENSG00000231183,0.0
ENSG00000231185,0.1046
ENSG00000231189,0.0
ENSG00000231312,1.2434
ENSG00000231327,0.9109
ENSG00000231367,0.0
ENSG00000231401,0.0
ENSG00000231418,0.0
ENSG00000231421,0.0
ENSG00000231476,0.0
ENSG00000231539,0.0
ENSG00000231557,0.0
ENSG00000231560,0.0
ENSG00000231609,0.4549
ENSG00000231621,0.0
ENSG00000231638,0.0
ENSG00000231704,0.0
ENSG00000231731,0.6293
ENSG00000231749,0.0504
ENSG00000231758,0.0
ENSG00000231781,0.0
ENSG00000231815,0.0
ENSG00000231826,0.543
ENSG00000231840,0.0747
ENSG00000231858,0.0
ENSG00000231876,0.0
ENSG00000231892,0.0
ENSG00000231896,0.0
ENSG00000231903,0.9694
ENSG00000231918,0.0
ENSG00000231980,0.0419
ENSG00000232006,0.0586
ENSG00000232023,0.0774
ENSG00000232028,0.0
ENSG00000232034,0.0
ENSG00000232046,0.0
ENSG00000232053,0.0
ENSG00000232058,0.0
ENSG00000232072,0.0
ENSG00000232140,0.3512
ENSG00000232153,0.0
ENSG00000232164,0.0
ENSG00000232306,0.307
ENSG00000232328,0.0
ENSG00000232377,0.0
ENSG00000232411,0.2979
ENSG00000232444,0.0
ENSG00000232451,0.0
ENSG00000232518,0.0
ENSG00000232520,0.0
ENSG00000232548,0.0
ENSG00000232597,0.0
ENSG00000232613,0.2661
ENSG00000232642,0.0
ENSG00000232667,0.0
ENSG00000232680,0.3015
ENSG00000232693,0.2844
ENSG00000232696,0.0
ENSG00000232729,0.2064
ENSG00000232732,0.0439
ENSG00000232740,0.0
ENSG00000232759,0.186
ENSG00000232788,0.4199
ENSG00000232821,0.0
ENSG00000232930,0.0
ENSG00000233005,0.0
ENSG00000233006,0.669
ENSG00000233038,0.1907
ENSG00000233073,0.0799
ENSG00000233082,0.0
ENSG00000233108,0.5308
ENSG00000233128,0.0
ENSG00000233191,0.2859
ENSG00000233214,0.67
ENSG00000233230,0.0
ENSG00000233251,0.069
ENSG00000233296,0.0516
ENSG00000233363,0.0
ENSG00000233420,0.0
ENSG00000233479,0.0
ENSG00000233538,0.0
ENSG00000233539,0.0
ENSG00000233559,2.3396
ENSG00000233611,0.0
ENSG00000233684,0.0
ENSG00000233694,0.0
ENSG00000233714,0.0
ENSG00000233729,0.0
ENSG00000233760,0.0442
ENSG00000233824,0.0
ENSG00000233834,7.6963
ENSG00000233842,0.0
ENSG00000233862,0.0
ENSG00000233891,0.0
ENSG00000233912,0.0
ENSG00000233942,0.5646
ENSG00000233978,0.0
ENSG00000234022,0.0
ENSG00000234028,0.3872
ENSG00000234072,5.611
ENSG00000234136,0.0
ENSG00000234141,0.4357
ENSG00000234162,0.0
ENSG00000234169,0.0
ENSG00000234174,0.1404
ENSG00000234183,0.0
ENSG00000234210,0.0
ENSG00000234223,0.0
ENSG00000234255,0.0
ENSG00000234273,0.0
ENSG00000234275,0.0
ENSG00000234327,0.0
ENSG00000234350,0.2219
ENSG00000234352,0.0
ENSG00000234389,0.0
ENSG00000234446,0.0
ENSG00000234455,0.0
ENSG00000234477,0.5549
ENSG00000234553,0.0
ENSG00000234572,0.0
ENSG00000234584,0.0
ENSG00000234595,0.0
ENSG00000234597,0.0
ENSG00000234634,0.0
ENSG00000234653,0.0
ENSG00000234686,0.0
ENSG00000234690,1.5519
ENSG00000234695,0.0
ENSG00000234710,0.0
ENSG00000234714,0.0
ENSG00000234718,0.1008
ENSG00000234826,0.0
ENSG00000234859,0.0371
ENSG00000234902,0.413
ENSG00000234919,0.0
ENSG00000234929,0.1599
ENSG00000234936,0.3788
ENSG00000234938,0.0
ENSG00000234988,0.0
ENSG00000235027,0.5237
ENSG00000235047,0.0
ENSG00000235056,0.0
ENSG00000235059,0.0
ENSG00000235066,0.0
ENSG00000235070,0.0
ENSG00000235072,0.0
ENSG00000235077,0.8816
ENSG00000235118,0.0
ENSG00000235127,0.0
ENSG00000235139,0.0
ENSG00000235158,0.0
ENSG00000235160,0.0
ENSG00000235192,0.387
ENSG00000235319,0.0
ENSG00000235335,0.0
ENSG00000235361,0.6415
ENSG00000235415,0.0
ENSG00000235419,0.2178
ENSG00000235431,0.0
ENSG00000235435,0.0
ENSG00000235464,0.0
ENSG00000235478,0.1541
ENSG00000235493,0.2155
ENSG00000235495,0.0
ENSG00000235497,0.0
ENSG00000235499,3.4788
ENSG00000235503,0.0
ENSG00000235519,0.0
ENSG00000235522,0.0696
ENSG00000235530,0.803
ENSG00000235560,0.9874
ENSG00000235576,6.2036
ENSG00000235586,3.2349
ENSG00000235610,0.0
ENSG00000235620,0.0
ENSG00000235629,0.0
ENSG00000235669,0.1889
ENSG00000235724,0.213
ENSG00000235726,0.1405
ENSG00000235774,0.0
ENSG00000235779,0.0
ENSG00000235837,0.0
ENSG00000235840,0.0
ENSG00000235885,0.0
ENSG00000235911,0.0
ENSG00000235978,0.482
ENSG00000235979,0.0
ENSG00000236008,0.5017
ENSG00000236039,0.1289
ENSG00000236046,0.0
ENSG00000236106,0.0
ENSG00000236107,0.0
ENSG00000236145,0.0
ENSG00000236162,0.0
ENSG00000236194,0.1008
ENSG00000236197,0.0
ENSG00000236212,0.1433
ENSG00000236213,0.0
ENSG00000236231,0.0
ENSG00000236255,2.224
ENSG00000236283,0.0
ENSG00000236295,0.0
ENSG00000236352,0.0
ENSG00000236356,0.0
ENSG00000236377,1.4721
ENSG00000236436,0.0
ENSG00000236449,0.025
ENSG00000236451,0.0
ENSG00000236453,0.0
ENSG00000236469,0.0
ENSG00000236481,0.0
ENSG00000236501,0.022
ENSG00000236525,0.0
ENSG00000236536,0.2178
ENSG00000236540,1.1969
ENSG00000236544,0.0
ENSG00000236572,0.0
ENSG00000236653,0.0
ENSG00000236682,0.8339
ENSG00000236708,0.0
ENSG00000236714,0.0
ENSG00000236754,0.0
ENSG00000236760,0.0
ENSG00000236780,0.0696
ENSG00000236795,0.0
ENSG00000236833,1.4347
ENSG00000236841,0.1088
ENSG00000236861,0.474
ENSG00000236885,0.0
ENSG00000236938,0.0
ENSG00000236951,0.0
ENSG00000237013,0.0
ENSG00000237017,0.5076
ENSG00000237031,0.0
ENSG00000237057,0.0
ENSG00000237070,0.6847
ENSG00000237126,0.4047
ENSG00000237166,0.0467
ENSG00000237179,0.0
ENSG00000237222,0.0149
ENSG00000237266,0.0
ENSG00000237377,0.0
ENSG00000237400,0.0
ENSG00000237471,0.0
ENSG00000237498,0.0
ENSG00000237525,0.048
ENSG00000237532,0.0
ENSG00000237571,0.0
ENSG00000237574,0.0
ENSG00000237614,0.1594
ENSG00000237638,1.8363
ENSG00000237655,0.0
ENSG00000237670,0.0
ENSG00000237689,0.0
ENSG00000237713,0.0
ENSG00000237718,0.0
ENSG00000237720,0.0
ENSG00000237750,0.0
ENSG00000237753,0.8884
ENSG00000237760,0.0
ENSG00000237772,0.0
ENSG00000237773,0.103
ENSG00000237798,0.0
ENSG00000237819,0.226
ENSG00000237843,0.0
ENSG00000237844,0.0
ENSG00000237870,0.0589
ENSG00000237896,0.0
ENSG00000237921,0.0
ENSG00000237992,0.0
ENSG00000238031,0.0
ENSG00000238045,5.0759
ENSG00000238171,0.0
ENSG00000238207,0.0721
ENSG00000238212,0.0
ENSG00000238273,1.8489
ENSG00000238277,0.0
ENSG00000239791,0.0708
ENSG00000240350,0.1677
ENSG00000240355,0.0
ENSG00000240401,0.2011
ENSG00000240790,0.0
ENSG00000241409,0.0
ENSG00000241764,1.4103
ENSG00000241772,0.0
ENSG00000241921,0.0
ENSG00000242540,0.0608
ENSG00000242628,0.0299
ENSG00000242908,0.0
ENSG00000243004,0.3394
ENSG00000243107,0.1897
ENSG00000243389,0.0
ENSG00000244055,0.5299
ENSG00000244063,0.0
ENSG00000244125,0.0
ENSG00000245105,0.2557
ENSG00000245384,0.0
ENSG00000246774,0.0
ENSG00000248101,0.0
ENSG00000248235,0.0
ENSG00000248487,9.2553
ENSG00000248901,0.0
ENSG00000249240,0.0
ENSG00000249249,0.203
ENSG00000249319,0.0
ENSG00000249502,0.2834
ENSG00000249738,0.0
ENSG00000250362,0.0
ENSG00000250456,0.0
ENSG00000250497,0.0
ENSG00000250522,0.2635
ENSG00000250614,0.0
ENSG00000250994,0.0
ENSG00000251169,9.26
ENSG00000251183,0.0
ENSG00000251259,0.8238
ENSG00000251409,0.0
ENSG00000251410,0.0778
ENSG00000251412,0.0
ENSG00000251510,0.0
ENSG00000251621,0.0
ENSG00000253190,0.0
ENSG00000253298,0.0
ENSG00000253311,0.0
ENSG00000253392,0.2729
ENSG00000253399,0.3418
ENSG00000253404,0.2568
ENSG00000254028,0.1776
ENSG00000254180,0.0
ENSG00000254654,0.094
ENSG00000254777,1.4378
ENSG00000254802,0.702
ENSG00000256661,0.0
ENSG00000256904,0.0
ENSG00000258052,0.0
ENSG00000258384,1.217
ENSG00000258559,0.7719
ENSG00000258881,0.0
ENSG00000259242,0.4826
ENSG00000259268,0.0
ENSG00000259605,2.0293
ENSG00000259810,0.0
ENSG00000259921,0.1542
ENSG00000259972,3.1979
ENSG00000260005,0.7695
ENSG00000260264,0.0
ENSG00000260345,1.0117
ENSG00000260664,0.0
ENSG00000260693,0.0
ENSG00000260719,0.3641
ENSG00000260725,1.0562
ENSG00000260884,3.8201
ENSG00000260907,0.0
ENSG00000261028,0.0
ENSG00000261204,0.0
ENSG00000261312,0.0
ENSG00000261342,0.1902
ENSG00000261400,0.0
ENSG00000261404,0.0
ENSG00000261459,0.0
ENSG00000261736,0.2546
ENSG00000261790,0.8554
ENSG00000262011,0.0
ENSG00000263494,0.0
ENSG00000263863,0.0
ENSG00000264031,0.0
ENSG00000264577,8.0488
ENSG00000265205,2.1147
ENSG00000266311,0.0
ENSG00000266728,0.0
ENSG00000266897,0.7711
ENSG00000266933,0.3547
ENSG00000266967,1.6279
ENSG00000266976,0.284
ENSG00000267001,0.0
ENSG00000267022,0.0
ENSG00000267044,0.3194
ENSG00000267059,0.0
ENSG00000267073,0.9874
ENSG00000267117,2.3928
ENSG00000267122,0.0
ENSG00000267144,0.0
ENSG00000267192,0.0
ENSG00000267201,0.8127
ENSG00000267204,0.0
ENSG00000267213,1.5509
ENSG00000267216,0.0713
ENSG00000267219,2.0615
ENSG00000267223,0.0
ENSG00000267224,0.0
ENSG00000267231,0.0
ENSG00000267240,0.0
ENSG00000267298,0.2697
ENSG00000267308,0.0
ENSG00000267320,0.0
ENSG00000267372,0.0
ENSG00000267395,1.6146
ENSG00000267421,0.1364
ENSG00000267443,0.0
ENSG00000267448,0.0
ENSG00000267453,0.1948
ENSG00000267530,0.0888
ENSG00000267549,0.0
ENSG00000267551,0.325
ENSG00000267610,0.0
ENSG00000267617,0.0
ENSG00000267626,0.0
ENSG00000267636,0.0
ENSG00000267662,0.0
ENSG00000267666,0.0
ENSG00000267683,0.0
ENSG00000267698,1.8755
ENSG00000267709,1.0151
ENSG00000267710,0.2565
ENSG00000267737,0.2633
ENSG00000267740,0.0
ENSG00000267751,6.4481
ENSG00000267778,0.1786
ENSG00000267808,0.0
ENSG00000267838,3.94
ENSG00000267881,0.0
ENSG00000267922,1.8162
ENSG00000267968,2.3073
ENSG00000267980,1.2124
ENSG00000268027,0.6281
ENSG00000268030,0.6027
ENSG00000268038,0.0
ENSG00000268047,0.0
ENSG00000268107,0.0
ENSG00000268133,0.0
ENSG00000268163,0.1466
ENSG00000268173,0.0
ENSG00000268189,0.9466
ENSG00000268266,0.6811
ENSG00000268316,0.0
ENSG00000268392,0.0
ENSG00000268434,0.0
ENSG00000268460,0.2325
ENSG00000268533,0.2893
ENSG00000268536,0.3606
ENSG00000268564,1.2703
ENSG00000268621,3.1632
ENSG00000268643,0.0
ENSG00000268650,0.1244
ENSG00000268686,0.0786
ENSG00000268833,0.5317
ENSG00000269019,0.0
ENSG00000269026,0.0
ENSG00000269095,0.0
ENSG00000269124,0.3194
ENSG00000269148,1.9731
ENSG00000269191,0.3426
ENSG00000269296,0.0413
ENSG00000269318,0.2496
ENSG00000269353,0.0
ENSG00000269425,0.5403
ENSG00000269504,0.0
ENSG00000269564,0.0
ENSG00000269600,0.0801
ENSG00000269635,0.0
ENSG00000269688,2.752
ENSG00000269696,0.2095
ENSG00000269749,0.0
ENSG00000269807,0.0
ENSG00000270240,0.3993
ENSG00000270871,4.6336
ENSG00000270894,0.3581
ENSG00000270977,0.0473
ENSG00000271201,0.0
ENSG00000271366,2.6832
ENSG00000271824,7.4706
ENSG00000271871,0.6301
ENSG00000272021,0.0
ENSG00000272070,0.0958
ENSG00000272108,0.1445
ENSG00000272154,0.0
ENSG00000272203,0.2002
ENSG00000272330,0.9541
ENSG00000272473,0.0
ENSG00000272682,0.0996
ENSG00000273118,0.0
ENSG00000273203,0.0528
ENSG00000273212,0.9831
ENSG00000273216,0.6321
ENSG00000273442,0.0
ENSG00000273447,2.3689
ENSG00000274044,0.0
ENSG00000274898,0.0
ENSG00000275173,0.0
ENSG00000275210,0.0
ENSG00000275236,0.2065
ENSG00000275601,0.9496
ENSG00000275700,55.5503
ENSG00000276095,0.0
ENSG00000276397,0.0
ENSG00000276449,1.3609
ENSG00000276571,1.913
ENSG00000276651,0.0
ENSG00000277089,0.0
ENSG00000277527,0.0
ENSG00000277602,0.6229
ENSG00000277675,0.0
ENSG00000277758,0.0
ENSG00000278239,0.0
ENSG00000278514,0.6931
ENSG00000278727,0.1261
ENSG00000278897,0.1328
ENSG00000278922,5.8022
ENSG00000278925,0.7318
ENSG00000278999,0.202
ENSG00000279095,0.0
ENSG00000279115,0.0
ENSG00000279203,1.4334
ENSG00000279227,1.7085
ENSG00000279240,0.0
ENSG00000279265,4.578
ENSG00000279274,0.0
ENSG00000279377,0.0
ENSG00000279407,6.8956
ENSG00000279429,0.2071
ENSG00000279446,0.0
ENSG00000279452,0.9363
ENSG00000279461,0.0
ENSG00000279483,110.5476
ENSG00000279518,1.3792
ENSG00000279526,0.1012
ENSG00000279539,0.5484
ENSG00000279584,0.0
ENSG00000279590,0.0
ENSG00000279591,0.4662
ENSG00000279599,0.0
ENSG00000279655,0.0
ENSG00000279799,1.9792
ENSG00000279809,0.0
ENSG00000280007,0.1478
ENSG00000280014,0.0
ENSG00000280092,0.0
ENSG00000280103,0.375
ENSG00000280247,0.0
ENSG00000280344,0.0
ENSG00000280347,1.4241
ENSG00000280418,0.0
ENSG00000280420,0.6229
ENSG00000281376,0.0792
ENSG00000282535,0.0
ENSG00000282542,0.0
ENSG00000283061,0.0
ENSG00000283095,0.0982
ENSG00000283155,0.0
ENSG00000283199,0.118
ENSG00000283258,0.0
ENSG00000283403,0.1453
ENSG00000283566,0.0
ENSG00000283633,0.1473
ENSG00000283684,0.0
